,"Мощность активная потребленная, кВт",Год,Месяц,День,Час,День недели,Праздник ли это
0,4.46645438285217,2022,1,1,1,6,1
1,4.76248682450633,2022,1,1,2,6,1
2,5.19528279183697,2022,1,1,3,6,1
3,6.01240157815721,2022,1,1,4,6,1
4,9.504199442580791,2022,1,1,5,6,1
5,9.601145739262861,2022,1,1,6,6,1
6,9.627113497302691,2022,1,1,7,6,1
7,8.671500001436641,2022,1,1,8,6,1
8,0.533204631751345,2022,1,1,9,6,1
9,8.37027400817452,2022,1,1,10,6,1
10,8.799607607766522,2022,1,1,11,6,1
11,8.264671792145851,2022,1,1,12,6,1
12,8.02923078591799,2022,1,1,13,6,1
13,6.386337293930881,2022,1,1,14,6,1
14,5.99162737172534,2022,1,1,15,6,1
15,5.22125054987681,2022,1,1,16,6,1
16,4.17215312506734,2022,1,1,17,6,1
17,3.91074436079964,2022,1,1,18,6,1
18,4.2171639056697305,2022,1,1,19,6,1
19,3.87958305115183,2022,1,1,20,6,1
20,3.99037881878848,2022,1,1,21,6,1
21,3.91766909627693,2022,1,1,22,6,1
22,4.142722999288861,2022,1,1,23,6,1
23,4.20504561858447,2022,1,1,24,6,1
24,4.25524995079482,2022,1,2,1,7,1
25,4.31411020235179,2022,1,2,2,7,1
26,5.04813216294455,2022,1,2,3,7,1
27,5.58133679469589,2022,1,2,4,7,1
28,8.49665043063507,2022,1,2,5,7,1
29,8.68015592078326,2022,1,2,6,7,1
30,7.908047915065399,2022,1,2,7,7,1
31,8.37373637591317,2022,1,2,8,7,1
32,7.011294670756319,2022,1,2,9,7,1
33,7.9461339601905,2022,1,2,10,7,1
34,8.23697285023669,2022,1,2,11,7,1
35,8.05692972782714,2022,1,2,12,7,1
36,7.6899187475307595,2022,1,2,13,7,1
37,1.320893292293105,2022,1,2,14,7,1
38,6.49367069382888,2022,1,2,15,7,1
39,6.25822968760102,2022,1,2,16,7,1
40,4.63784158591511,2022,1,2,17,7,1
41,4.48895977315337,2022,1,2,18,7,1
42,4.3920134764713,2022,1,2,19,7,1
43,4.53916410536372,2022,1,2,20,7,1
44,4.310647834613141,2022,1,2,21,7,1
45,4.47857266993743,2022,1,2,22,7,1
46,4.19638969923786,2022,1,2,23,7,1
47,4.454336095766919,2022,1,2,24,7,1
48,4.6603469762162995,2022,1,3,1,1,1
49,4.82480944380195,2022,1,3,2,1,1
50,5.2247129176154505,2022,1,3,3,1,1
51,6.67025144849978,2022,1,3,4,1,1
52,9.13026372680713,2022,1,3,5,1,1
53,9.890253445439729,2022,1,3,6,1,1
54,10.06337183237197,2022,1,3,7,1,1
55,9.93872659378076,2022,1,3,8,1,1
56,8.924252846357739,2022,1,3,9,1,1
57,9.31203803308599,2022,1,3,10,1,1
58,9.1977798977107,2022,1,3,11,1,1
59,8.721704333647,2022,1,3,12,1,1
60,7.650101518536351,2022,1,3,13,1,1
61,6.67890736784639,2022,1,3,14,1,1
62,6.31016520368069,2022,1,3,15,1,1
63,5.05332571455252,2022,1,3,16,1,1
